0,0,0.001277,0.012046,0.986677,0,5,"POWERFUL, LIGHTWEIGHT & EFFICIENT STICK VACUUM. The LG CordZero A925KSM Kompressor Stick Vacuum is similar to some other LG cordless vacuum models, and that is a very good thing. The LG A925KSM is...","[lg cordzero a925ksm kompressor stick vacuum, excellent cordless stick vacuum, lg cordless vacuum models, efficient stick vacuum, lg a925ksm, good thing, well, use, similar, powerful, pleasant, pe..."
1,1,0.002491,0.235200,0.762309,0,5,"The LG CordZero A925KSM Kompressor arrives very well packed and includes the vacuum motor power head, an aluminum telescoping extension wand (20” collapsed, 29.5” extended), a universal power nozz...","[two lithium ion rechargeable batteries, lg cordzero a925ksm kompressor arrives, aluminum telescoping extension wand, 5 ” extended , vacuum motor power head, universal power nozzle, 20 ” collapsed..."
2,2,0.003077,0.128773,0.868150,0,5,"Assembly of the charging stand is straightforward, and LG provides a quantity of printed product documentation. The stand has a weighted base, which I found to be very stable. The stand may also b...","[printed product documentation, stand may also, weighted base, wall mounted, wall attachment, lg provides, charging stand, included components, stand, included, straightforward, stable, quantity, ..."
3,3,0.007611,0.393929,0.598460,0,5,"The combination tool and crevice tool attachments can be used with or without the telescoping extension wand, easily accommodating cleaning out of reach areas, as well as close-up cleaning tasks s...","[telescoping wand provides four latching positions, attachments easily snap together, telescoping extension wand, easily accommodating cleaning, crevice tool attachments, combination tool, cleanin..."
4,4,0.001160,0.025889,0.972951,0,5,"Cordless stick vacuums are particularly attractive and desirable for their light weight, easy maneuverability and superior convenience. The LG CordZero A925 Kompressor excels in those attributes.","[lg cordzero a925 kompressor excels, cordless stick vacuums, superior convenience, particularly attractive, light weight, easy maneuverability, desirable, attributes]"
5,5,0.011937,0.287447,0.700615,0,5,"The vacuum weighs only 5.95 lbs, with most of the weight concentrated in the motor unit and battery. The handle is large and comfortable. The thumb operated power on/off switch and motor speed con...","[motor speed control switches , stick vacuums require, require momentary depression, thumb operated power, motor unit, easily operated, weight concentrated, vacuum weighs, held continuously, conve..."
6,6,0.005475,0.243215,0.751310,0,5,"The power vacuum nozzle is equipped with a ball-gimbal mount which affords outstanding maneuverability and directional control. The CordZero easily reaches under low furniture, and is easily maneu...","[power vacuum nozzle, excellent edge cleaning, easily maneuvered next, cordzero easily reaches, affords outstanding maneuverability, low furniture, gimbal mount, directional control, walls, furnis..."
7,7,0.466442,0.468604,0.064954,0,5,"The power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors. A pair of small rollers facilitates movement on carpeting, but neve...","[forward motion required additional physical effort, attack often necessitates bending slightly, small rollers facilitates movement, motorized 9 ” brushroll, power vacuum nozzle contains, telescop..."
8,8,0.227963,0.649570,0.122467,0,5,"LG provides a specification of 200 watts of suction power. If LG is actually describing an air watts rating, 200 watts is double the required 100 air watt standard for upright vacuums, and is only...","[required 100 air watt standard, 220 air watt standard, air watts rating, 200 watts, upright vacuums, suction power, canister vacuums, actually describing, lg provides, lg, specification, slightly..."
9,9,0.007960,0.122531,0.869509,0,5,"I found the suction power to be more than adequate. The CordZero A925 provides three motor speeds (power levels) labeled as Normal, Power and Turbo. The default, Normal mode proved to be extremely...","[cordzero a925 provides three motor speeds, turbo motor speeds reduce battery run, increase noise level, normal mode proved, extremely effective, carpeted surfaces, suction power, power levels, tu..."
10,10,0.015155,0.363291,0.621554,0,5,"LG claims 40 minutes of operation (per battery) in Normal mode, 20 minutes in Power mode and 6 minutes in Turbo mode when using the floor cleaning Universal Power Nozzle. When used with a non-powe...","[using two fully charged batteries provides, floor cleaning universal power nozzle, lg a925 several times, lg claims 40 minutes, two included batteries, whole house cleaning, foregoing operating t..."
11,11,0.133905,0.704054,0.162041,0,5,"The lithium ion, batteries are 25.9 volt, 2.4 Ah / 62.16 Wh (2.3 Ah / 59.57 Wh minimum) capacity. Replacement batteries are expensive so they should be properly maintained. Battery charging is acc...","[battery requires approximately 4 hours, charging stand first charges, 57 wh minimum, charging one battery, vacuum motor unit, 8 hours, 4 ah, battery charging, charging stand, second battery, 16 w..."
12,12,0.008657,0.750694,0.240650,0,5,"Completion of charging of each battery is annunciated by LED indicators (3 incremental LED bars on the vacuum handle for attached battery, and a single LED on the charging stand for second battery...","[3 incremental led bars, led panel also shows, q smartphone app, available lg thin, clogged vacuum flow, second battery , single led, led indicators, vacuum handle, also annunciated, primary batte..."
13,13,0.099344,0.657579,0.243077,0,5,"I already had the Thin-Q app installed on my LG smartphone. Nevertheless, it required a few attempts to finally connect the vacuum with the app via wi-fi. The CordZero communicates only on 2.4GHz ...","[q app installed, app via wi, 4ghz wi, lg smartphone, finally connect, cordzero communicates, vacuum, thin, required, nevertheless, fi, attempts, already, 2]"
14,14,0.062317,0.638106,0.299577,0,5,"The Thin-Q app tracks usage of the CordZero by date and cleaning sessions, reporting total hours/minutes of use. It also displays the duration of use in each of the three power modes, and notifies...","[q app tracks usage, additional data granularity might, three power modes, filters require cleaning, reporting total hours, individual cleaning sessions, cleaning sessions, grand total, day ’, als..."
15,15,0.377468,0.576741,0.045791,0,5,The Thin-Q app displays when the battery attached to the vacuum is being charged and when it is fully charged. It does not provide any additional battery status data such as the remaining capacity...,"[charge  charged – time remaining, battery  remaining , additional battery status data, q app displays, remaining capacity, second battery, fully charged, battery attached, information provided, 1..."
16,16,0.003388,0.080540,0.916072,0,5,One improvement that I believe would be beneficial and appreciated would be the addition of an LED display (with pushbutton) on the LG batteries. Every tool battery pack that I own has such a disp...,"[approximate current remaining charge level, every tool battery pack, simply press, one improvement, lg batteries, led lamps, instantly displayed, button momentarily, believe would, appreciated wo..."
17,17,0.013633,0.823634,0.162732,0,5,Air filtration is comprised of multiple filter elements and is listed as being 5 stage HEPA filtration. The filters are removable and washable. A spare pre-filter is also included.,"[5 stage hepa filtration, multiple filter elements, air filtration, spare pre, also included, filter, washable, removable, listed, filters, comprised]"
18,18,0.023882,0.542946,0.433172,0,5,"The small dust collection bin can fill quickly. The CordZero A925 Kompressor employs a very unique lever operated “piston” to compress the dust and pet hair in the bin, thereby extending the inter...","[unique lever operated “ piston ”, cordzero a925 kompressor employs, small dust collection bin, release latch quickly, dust bin, fill quickly, thereby extending, single press, pet hair, neatly dum..."
