P_ID,negative,neutral,positive,ID,RATING,PARAGRAPHS,KEYWORDS,KEYWORD
0,0.0012768471,0.012046007,0.98667717,0,5,powerful lightweight  efficient stick vacuum the lg cordzero a925ksm kompressor stick vacuum is similar to some other lg cordless vacuum models and that is a very good thing the lg a925ksm is an excellent cordless stick vacuum that performs very well and is very pleasant and easy to use,"['lg cordzero a925ksm kompressor stick vacuum', 'powerful lightweight efficient stick vacuum', 'excellent cordless stick vacuum', 'lg cordless vacuum models', 'lg a925ksm', 'good thing']","['powerful', 'lightweight', 'efficient', 'stick', 'vacuum', 'lg', 'cordzero', 'a925ksm', 'kompressor', 'similar', 'cordless', 'models', 'good', 'thing', 'excellent', 'performs', 'well', 'pleasant', 'easy', 'use']"
1,0.0024906343,0.23520043,0.7623089,0,5,the lg cordzero a925ksm kompressor arrives very well packed and includes the vacuum motor power head an aluminum telescoping extension wand 20” collapsed 295” extended a universal power nozzle for carpet and bare floors a combination tool with removable brush a crevice tool a freestanding  wall mountable portable storage stand with integral battery charger two lithium ion rechargeable batteries a spare prefilter for the motor and a small brush for cleaning the dirt collection canister and motor housing,"['aluminum telescoping extension wand 20 ” collapsed 295 ” extended', 'integral battery charger two lithium ion rechargeable batteries', 'freestanding wall mountable portable storage stand', 'lg cordzero a925ksm kompressor arrives', 'vacuum motor power head', 'universal power nozzle', 'dirt collection canister', 'motor housing', 'well packed', 'spare prefilter', 'small brush', 'removable brush', 'crevice tool', 'combination tool', 'bare floors']","['lg', 'cordzero', 'a925ksm', 'kompressor', 'arrives', 'well', 'packed', 'includes', 'vacuum', 'motor', 'power', 'head', 'aluminum', 'telescoping', 'extension', 'wand', '20', '”', 'collapsed', '295', 'extended', 'universal', 'nozzle', 'carpet', 'bare', 'floors', 'combination', 'tool', 'removable', 'brush', 'crevice', 'freestanding', 'wall', 'mountable', 'portable', 'storage', 'stand', 'integral', 'battery', 'charger', 'two', 'lithium', 'ion', 'rechargeable', 'batteries', 'spare', 'prefilter', 'small', 'cleaning', 'dirt', 'collection', 'canister', 'housing']"
2,0.0030766777,0.12877317,0.8681501,0,5,assembly of the charging stand is straightforward and lg provides a quantity of printed product documentation the stand has a weighted base which i found to be very stable the stand may also be wall mounted the hardware for wall attachment is included notably all of the included components and accessories are accommodated on the charging stand ,"['printed product documentation', 'stand may also', 'charging stand', 'weighted base', 'wall mounted', 'wall attachment', 'lg provides', 'included notably', 'included components']","['assembly', 'charging', 'stand', 'straightforward', 'lg', 'provides', 'quantity', 'printed', 'product', 'documentation', 'weighted', 'base', 'found', 'stable', 'may', 'also', 'wall', 'mounted', 'hardware', 'attachment', 'included', 'notably', 'components', 'accessories', 'accommodated']"
3,0.0076108132,0.39392927,0.5984599,0,5,the combination tool and crevice tool attachments can be used with or without the telescoping extension wand easily accommodating cleaning out of reach areas as well as closeup cleaning tasks such as upholstered furniture the telescoping wand provides four latching positions all of the attachments easily snap together and latch securely,"['telescoping wand provides four latching positions', 'telescoping extension wand easily accommodating cleaning', 'attachments easily snap together', 'closeup cleaning tasks', 'crevice tool attachments', 'combination tool', 'upholstered furniture', 'reach areas', 'latch securely']","['combination', 'tool', 'crevice', 'attachments', 'used', 'without', 'telescoping', 'extension', 'wand', 'easily', 'accommodating', 'cleaning', 'reach', 'areas', 'well', 'closeup', 'tasks', 'upholstered', 'furniture', 'provides', 'four', 'latching', 'positions', 'snap', 'together', 'latch', 'securely']"
4,0.0011600947,0.025888508,0.9729514,0,5,cordless stick vacuums are particularly attractive and desirable for their light weight easy maneuverability and superior convenience the lg cordzero a925 kompressor excels in those attributes ,"['lg cordzero a925 kompressor excels', 'light weight easy maneuverability', 'cordless stick vacuums', 'superior convenience', 'particularly attractive']","['cordless', 'stick', 'vacuums', 'particularly', 'attractive', 'desirable', 'light', 'weight', 'easy', 'maneuverability', 'superior', 'convenience', 'lg', 'cordzero', 'a925', 'kompressor', 'excels', 'attributes']"
5,0.011937287,0.28744718,0.70061547,0,5,the vacuum weighs only 595 lbs with most of the weight concentrated in the motor unit and battery the handle is large and comfortable the thumb operated power onoff switch and motor speed control switches    are conveniently located and easily operated switches only require momentary depression and do not need to be held continuously during operation as some stick vacuums require,"['thumb operated power onoff switch', 'motor speed control switches', 'easily operated switches', 'stick vacuums require', 'require momentary depression', 'motor unit', 'weight concentrated', 'vacuum weighs', 'held continuously', 'conveniently located', '595 lbs']","['vacuum', 'weighs', '595', 'lbs', 'weight', 'concentrated', 'motor', 'unit', 'battery', 'handle', 'large', 'comfortable', 'thumb', 'operated', 'power', 'onoff', 'switch', 'speed', 'control', 'switches', 'conveniently', 'located', 'easily', 'require', 'momentary', 'depression', 'need', 'held', 'continuously', 'operation', 'stick', 'vacuums']"
6,0.005475144,0.24321522,0.75130963,0,5,the power vacuum nozzle is equipped with a ballgimbal mount which affords outstanding maneuverability and directional control the cordzero easily reaches under low furniture and is easily maneuvered next to walls and furnishings for excellent edge cleaning,"['power vacuum nozzle', 'excellent edge cleaning', 'easily maneuvered next', 'cordzero easily reaches', 'affords outstanding maneuverability', 'low furniture', 'directional control', 'ballgimbal mount']","['power', 'vacuum', 'nozzle', 'equipped', 'ballgimbal', 'mount', 'affords', 'outstanding', 'maneuverability', 'directional', 'control', 'cordzero', 'easily', 'reaches', 'low', 'furniture', 'maneuvered', 'next', 'walls', 'furnishings', 'excellent', 'edge', 'cleaning']"
7,0.46644247,0.46860382,0.06495372,0,5,the power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors a pair of small rollers facilitates movement on carpeting but nevertheless there are times when forward motion required additional physical effort i found that a high angle of attack exacerbated that issue and lowering the angle of the stick vacuum reduced the level of required effort however i also found that lowering the angle of attack often necessitates bending slightly to lower the handlestick this created an occasional annoyance this issue does not result from the telescoping extension wand being too short rather it is a product of the design of the leading edge of the of the power nozzle which can embed in carpet pile,"['forward motion required additional physical effort', 'attack often necessitates bending slightly', 'small rollers facilitates movement', 'motorized 9 ” brushroll', 'power vacuum nozzle contains', 'required effort however', 'stick vacuum reduced', 'telescoping extension wand', 'hard surface floors', 'power nozzle', 'attack exacerbated', 'short rather', 'occasional annoyance', 'leading edge', 'high angle', 'carpet pile', 'also found']","['power', 'vacuum', 'nozzle', 'contains', 'motorized', '9', '”', 'brushroll', 'operates', 'times', 'carpeted', 'hard', 'surface', 'floors', 'pair', 'small', 'rollers', 'facilitates', 'movement', 'carpeting', 'nevertheless', 'forward', 'motion', 'required', 'additional', 'physical', 'effort', 'found', 'high', 'angle', 'attack', 'exacerbated', 'issue', 'lowering', 'stick', 'reduced', 'level', 'however', 'also', 'often', 'necessitates', 'bending', 'slightly', 'lower', 'handlestick', 'created', 'occasional', 'annoyance', 'result', 'telescoping', 'extension', 'wand', 'short', 'rather', 'product', 'design', 'leading', 'edge', 'embed', 'carpet', 'pile']"
8,0.22796303,0.6495704,0.12246656,0,5,lg provides a specification of 200 watts of suction power if lg is actually describing an air watts rating 200 watts is double the required 100 air watt standard for upright vacuums and is only slightly below the 220 air watt standard for canister vacuums,"['required 100 air watt standard', 'air watts rating 200 watts', '220 air watt standard', '200 watts', 'upright vacuums', 'suction power', 'lg provides', 'canister vacuums', 'actually describing']","['lg', 'provides', 'specification', '200', 'watts', 'suction', 'power', 'actually', 'describing', 'air', 'rating', 'double', 'required', '100', 'watt', 'standard', 'upright', 'vacuums', 'slightly', '220', 'canister']"
9,0.007960309,0.12253066,0.8695091,0,5,i found the suction power to be more than adequate the cordzero a925 provides three motor speeds power levels labeled as normal power and turbo the default normal mode proved to be extremely effective on both hard and carpeted surfaces the power and turbo motor speeds reduce battery runtime and increase noise level,"['cordzero a925 provides three motor speeds power levels labeled', 'turbo motor speeds reduce battery runtime', 'default normal mode proved', 'increase noise level', 'normal power', 'suction power', 'extremely effective', 'carpeted surfaces']","['found', 'suction', 'power', 'adequate', 'cordzero', 'a925', 'provides', 'three', 'motor', 'speeds', 'levels', 'labeled', 'normal', 'turbo', 'default', 'mode', 'proved', 'extremely', 'effective', 'hard', 'carpeted', 'surfaces', 'reduce', 'battery', 'runtime', 'increase', 'noise', 'level']"
10,0.015155448,0.3632907,0.62155384,0,5,lg claims 40 minutes of operation per battery in normal mode 20 minutes in power mode and 6 minutes in turbo mode when using the floor cleaning universal power nozzle when used with a nonpowered tool the claimed operating times are 60 minutes in normal mode 30 minutes in power mode and 7 minutes in turbo mode when used with the power nozzle the claimed run times are 40 minutes in normal mode 20 minutes in power mode and 6 minutes in turbo mode using two fully charged batteries provides for doubling of the foregoing operating times the power unit of the vacuum has an led display with 3 incremental bars for battery capacity after using the lg a925 several times we believe that with the two included batteries whole house cleaning is well within expectations,"['turbo mode using two fully charged batteries provides', 'two included batteries whole house cleaning', 'floor cleaning universal power nozzle', 'lg a925 several times', 'normal mode 30 minutes', 'normal mode 20 minutes', 'lg claims 40 minutes', 'foregoing operating times', 'claimed run times', 'claimed operating times', 'well within expectations', 'turbo mode', '3 incremental bars', 'operation per battery', 'power mode', 'power nozzle', '40 minutes', '7 minutes', '60 minutes', '6 minutes', 'power unit', 'battery capacity', 'nonpowered tool', 'led display']","['lg', 'claims', '40', 'minutes', 'operation', 'per', 'battery', 'normal', 'mode', '20', 'power', '6', 'turbo', 'using', 'floor', 'cleaning', 'universal', 'nozzle', 'used', 'nonpowered', 'tool', 'claimed', 'operating', 'times', '60', '30', '7', 'run', 'two', 'fully', 'charged', 'batteries', 'provides', 'doubling', 'foregoing', 'unit', 'vacuum', 'led', 'display', '3', 'incremental', 'bars', 'capacity', 'a925', 'several', 'believe', 'included', 'whole', 'house', 'well', 'within', 'expectations']"
